noBtg,jenis,panjang,pangkal,ujung,rata2,volume,grCm,grPersen
A108,MM,20.7,74,58,66,7.08,0,0
A109,MK,16.4,67,58,62,4.95,0,0
A110,MM,11.9,68,59,63,3.71,0,0
A111,MM,13.5,92,76,84,7.48,0,0
A112,BNS,14.3,70,58,64,4.6,0,0
A113,BNS,13.3,102,87,94,9.23,0,0
A114,BNS,15.3,87,75,81,7.88,0,0
A115,KR,13,48,43,45,2.07,0,0
A116,MK,14.1,59,49,54,3.23,0,0
A117,MM,10.6,56,46,51,2.17,0,0
A118,MM,13.9,48,42,45,2.21,0,0
A119,MM,15.8,60,45,52,3.36,0,0
A120,KR,18.1,62,48,55,4.3,0,0
A121,KR,22.2,75,53,64,7.14,0,0
A122,KR,18.2,60,44,52,3.87,0,0
A123,BNS,21.6,78,50,64,6.39,16,8
A124,MM,9.1,55,46,50,1.79,0,0
A125,BNS,12.3,56,46,51,2.51,0,0
A126,MM,14.9,60,51,55,3.54,0,0
A127,MM,13.5,75,55,65,4.48,0,0
A128,MM,12,88,74,81,5.7,20,7.8
A129,MM,11.6,65,58,61,3.39,0,0
A130,MM,12.4,63,52,57,3.16,0,0
A131,BNS,10.8,86,71,78,4.77,19,7.6
A132,MB,18.2,78,62,70,7,0,0
A133,MM,12.1,65,53,59,3.1,13,6.2
A134,MM,10.9,72,63,67,3.84,0,0
A135,MM,15.4,49,42,45,2.29,10,6.3
A136,MM,9.8,57,49,53,2.16,0,0
A137,MM,12.5,59,48,53,2.76,0,0
A138,KR,11.7,81,59,70,4.5,0,0
A139,KR,10.2,59,53,56,2.51,0,0
A140,KR,17.8,70,43,56,4.38,0,0
A141,KR,21.6,59,49,54,4.95,0,0
A142,KR,13.4,59,49,54,3.07,0,0
A143,KR,13.6,52,43,47,2.36,0,0
A144,KR,14.3,69,52,60,4.04,0,0
A145,KR,20.4,93,68,80,10.25,0,0
A146,KR,11.4,81,65,73,4.77,0,0
A147,KR,19.8,72,48,60,5.6,0,0
A148,MM,18.1,70,53,61,5.29,0,0
A149,BNS,19.1,52,39,45,3.04,0,0
A150,MM,13.8,75,58,66,4.72,0,0
A151,MM,15,76,65,70,5.77,0,0
A152,MB,18.8,83,60,71,7.44,0,0
A153,MB,21.9,99,73,86,12.72,0,0
A154,MM,17.3,55,37,46,2.88,0,0
A155,BNS,14.7,109,95,102,12.01,0,0
A156,KR,19.3,70,54,62,5.83,0,0
A157,KR,16,58,46,52,3.4,0,0
A158,MM,14.7,65,50,57,3.75,0,0
A159,MB,19.1,57,43,50,3.75,0,0
A160,MM,17.3,68,50,59,4.73,0,0
A161,MM,14.1,65,51,58,3.73,0,0
A162,MM,17.2,58,40,49,3.24,0,0
A163,MM,19,71,49,60,5.37,0,0
A164,MB,13.7,53,39,46,2.28,0,0
A165,MM,12,56,48,52,2.38,12,6.8
A166,MM,15.4,64,52,58,4.07,0,0
A167,MM,14.9,62,52,57,3.8,0,0
A168,MM,14.7,51,38,44,2.12,9,5.3
A169,MM,20.1,59,40,49,3.79,0,0
A170,MM,11.9,66,48,57,3.04,0,0
A171,BNS,21.7,72,54,63,6.55,10,3.2
A172,MB,14.8,64,46,55,3.52,0,0
A173,MM,16.8,54,38,46,2.79,0,0
A174,MM,14.9,63,45,54,3.12,14,8.6
A175,MM,18.4,69,48,58,4.86,0,0
A176,MM,14.4,77,59,68,5.11,9,2.2
A177,MM,16.2,57,44,50,2.95,12,7.3
A178,MM,12.4,56,46,51,2.53,0,0
A179,MM,15.6,64,49,56,3.84,0,0
A180,BNS,17.6,66,46,56,4.33,0,0
A181,KR,17,55,42,48,3.08,0,0
A182,MM,11.1,73,68,70,3.83,20,10.4
A183,MM,11,52,45,48,1.99,0,0
A184,MM,15,57,42,49,2.83,0,0
A185,MM,13,63,49,56,3.2,0,0
A186,MM,12.1,53,43,48,2.19,0,0
A187,MM,16.3,56,42,49,3.07,0,0
A188,MM,16.6,52,38,45,2.64,0,0
A189,MM,21,63,42,52,4.46,0,0
A190,MM,19.4,80,54,67,6.84,0,0
A191,KR,18.6,55,42,48,3.37,0,0
A192,MM,20.6,55,42,48,3.73,0,0
A193,BNS,16.8,60,47,53,3.71,0,0
A194,MM,18.8,68,56,62,5.31,14,6.5
A195,BNS,14.6,62,48,55,3.29,11,5.1
A196,BNS,13.1,120,99,109,11.93,15,2.4
A197,MM,15.5,56,50,53,3.42,0,0
A198,BNS,11,100,92,96,7.96,0,0
A199,BNS,14,56,48,52,2.97,0,0
A200,MM,22.8,88,60,74,9.81,0,0
A201,BNS,21,70,49,59,4.98,19,13.2
A202,MB,11.7,67,51,59,3.2,0,0
A203,MM,20.1,86,62,74,8.64,0,0
A204,BNS,18.2,76,59,67,6.42,0,0
A205,MB,18.2,74,63,68,6.61,0,0
A206,MB,10.6,106,96,101,8.49,0,0
A207,MB,11.3,96,88,92,7.51,0,0
A208,MM,19.7,73,48,60,5.57,0,0
A209,MM,15.7,85,70,77,7.31,0,0
A210,KR,18,59,43,51,3.68,0,0
A211,KR,19,86,66,76,8.62,0,0
A212,KR,16.2,52,44,48,2.93,0,0
A213,KR,13.7,63,52,57,3.36,10,3.9
A214,KR,15.5,71,55,63,4.83,0,0
A215,KR,17.6,66,50,58,4.65,0,0
A216,KR,15.6,70,54,62,4.71,0,0
A217,KR,16.2,84,67,75,7.16,0,0
A218,KR,12.2,74,63,68,4.43,0,0
A219,KR,21.7,74,53,63,6.76,0,0
A220,KR,16.5,94,74,84,9.14,0,0
A221,KR,22.8,74,48,61,6.66,0,0
A222,KR,19.4,81,67,74,8.34,0,0
A223,KR,19.8,75,52,63,6.17,0,0
A224,MB,19.2,87,68,77,8.94,0,0
A225,KR,18.8,57,42,49,3.55,0,0
A226,MM,16.8,62,48,55,3.99,0,0
A227,MM,18.1,60,40,50,3.55,0,0
A228,MB,14.8,52,43,47,2.57,0,0
A229,MM,15.6,56,45,50,3.06,0,0
A230,MM,8.6,51,46,48,1.56,0,0
A231,KR,16.4,54,38,46,2.73,0,0
A232,KR,22,66,46,56,5.42,0,0
A233,KR,16.2,64,54,59,4.43,0,0
A234,MM,16.4,66,50,58,4.33,0,0
A235,KR,10.7,73,64,68,3.89,0,0
A236,KR,17.1,88,73,80,8.6,0,0
A237,MM,13.5,63,52,57,3.44,0,0
A238,MM,18.4,83,70,76,8.35,0,0
A239,MM,10.9,85,73,79,4.9,20,8.2
A240,MM,17.8,57,45,51,3.64,0,0
A241,MB,16.4,94,79,86,9.15,15,3.9
A242,BNS,16.7,51,37,44,1.94,19,23.7
A243,BNS,16.8,56,42,49,3.17,0,0
A244,MM,15.3,74,57,65,5.08,0,0
A245,BNS,16.4,72,58,65,5.44,0,0
A246,MB,19.1,67,51,59,5.22,0,0
A247,KR,18.3,53,36,44,2.78,0,0
A248,MB,14.7,60,46,53,3.24,0,0
A249,MB,20.4,68,48,58,5.39,0,0
A250,KR,15,103,90,96,10.86,0,0
A251,MM,16,80,68,74,6.88,0,0
A252,KR,16.6,71,57,64,5.34,0,0
A253,MM,19.7,84,68,76,8.94,0,0
A254,BNS,16.4,57,52,54,3.76,0,0
A255,MM,17.3,73,50,61,5.06,0,0
A256,MM,12.3,53,45,49,2.32,0,0
A257,BNS,19,63,47,55,4.32,10,4.2
A258,KR,20.5,54,41,47,3.56,0,0
A259,KR,19.1,60,41,50,3.75,0,0
A260,KR,19.8,51,38,44,3.01,0,0
A261,KR,20.1,64,45,54,4.6,0,0
A262,KR,15.7,79,56,67,5.54,0,0
A263,MRS,15.6,93,73,83,8.44,0,0
A264,KR,20.5,109,63,86,11.91,0,0
A265,KR,19,81,60,70,7.31,0,0
A266,KR,20.4,68,45,56,5.02,0,0
A267,KR,17.3,72,53,62,5.22,0,0
A268,KR,17.7,88,71,79,8.68,0,0
A269,KR,16.9,79,69,74,7.27,0,0
A270,KR,16.1,79,58,68,5.85,0,0
A271,KR,20.3,70,46,58,5.36,0,0
A272,KR,20.4,80,58,69,7.63,0,0
A273,MM,17,58,46,52,3.61,0,0
A274,MM,16.7,54,41,47,2.9,0,0
A275,MB,13.2,64,56,60,3.6,10,3.5
A276,BNS,13.5,66,49,57,3.44,0,0
A277,MM,15.6,66,53,59,4.04,12,5.3
A278,MB,19.3,94,73,83,10.44,0,0
A279,MB,16.3,97,81,89,10.14,0,0
A280,MM,22.1,67,44,55,5.25,0,0
A281,BNS,18.2,67,53,60,4.97,10,3.5
A282,BNS,17.4,69,52,60,4.92,0,0
A283,MM,16.1,75,71,73,6.42,14,4.7
A284,KR,16.3,55,38,46,2.71,0,0
A285,MM,16.7,76,64,70,6.43,0,0
A286,BNS,19,90,70,80,9.55,0,0
A287,BNS,16.1,66,51,58,4.25,0,0
A288,MM,20.6,73,54,63,6.42,0,0
A289,KR,20.3,74,57,65,6.74,0,0
A290,KR,18.4,72,54,63,5.74,0,0
A291,MM,18.4,58,44,51,3.76,0,0
A292,BNS,18,63,55,59,4.92,0,0
A293,MM,18.3,56,42,49,3.45,0,0
A294,BNS,11.2,107,93,100,8.35,20,5.1
A295,MM,15.2,62,49,55,3.61,0,0
A296,MK,17.1,66,52,59,4.68,0,0
A297,KR,18.8,58,41,49,3.55,0,0
A298,KR,17.5,72,49,60,4.95,0,0
A299,KR,19.4,82,59,70,7.47,0,0
A300,KR,20.6,60,42,51,4.21,0,0
A301,KR,17.1,59,35,47,2.97,0,0
A302,KR,21.8,62,37,49,4.11,0,0
A303,MM,16.8,65,47,56,4.14,0,0
A304,MM,19.9,60,42,51,4.07,0,0
A305,MM,14,63,52,57,3.3,14,7.7
A306,BNS,17.5,64,49,56,4.31,0,0
A307,BNS,16.7,106,80,93,11.02,14,2.9
A308,MK,10.2,55,51,53,2.25,0,0
A309,MM,15.7,79,68,73,6.57,0,0
A310,MM,15.3,80,58,69,5.72,0,0
A311,MM,15.1,60,50,55,3.59,0,0
A312,MM,13.5,57,50,53,2.98,0,0
A313,BNS,15.2,76,69,72,6.19,0,0
A314,BNS,16.3,92,75,83,8.82,0,0
A315,MM,17.5,73,49,61,5.11,0,0
A316,MB,15.2,72,57,64,4.89,0,0
A317,BNS,18.7,60,43,51,3.82,0,0
A318,MB,12.9,74,59,66,4.41,0,0
A319,MB,13.2,67,58,62,3.99,0,0
A320,KR,16.9,66,54,60,4.78,0,0
A321,KR,16.8,69,52,60,4.75,0,0
A322,KR,19.1,71,53,62,5.77,0,0
A323,KR,9.6,79,71,75,4.24,0,0
A324,MM,11.6,80,64,72,4.72,0,0
A325,KR,18,60,42,51,3.68,0,0
A326,KR,17.6,85,68,76,7.98,0,0
A327,KR,22.3,92,73,82,11.78,0,0
A328,KR,12.8,77,62,69,4.79,0,0
A329,KR,18.2,84,54,69,6.81,0,0
A330,KR,20.3,67,45,56,5,0,0
A331,KR,17.6,70,47,58,4.65,0,0
A332,KR,19,67,44,55,4.51,0,0
A333,KR,17.8,85,62,73,7.45,0,0
A334,KR,19.9,57,41,49,3.75,0,0
A335,KR,14.6,81,67,74,6.28,0,0
A336,BNS,15.4,60,49,54,3.53,0,0
A337,BNS,17,58,43,50,3.34,0,0
A338,BNS,15.7,53,44,48,2.84,0,0
A339,MM,15.9,79,65,72,5.84,20,9.8
A340,KR,20.1,73,53,63,6.27,0,0
A341,KR,20.9,78,53,65,6.94,0,0
A342,KR,22.1,79,49,64,7.11,0,0
A343,KR,17.7,56,42,49,3.34,0,0
A344,BNS,15.7,60,51,55,3.73,0,0
A345,KR,12.4,69,58,63,3.87,0,0
A346,KR,18.6,79,54,66,6.36,0,0
A347,KR,16.4,86,70,78,7.84,0,0
A348,RC,15.3,66,51,58,4.04,0,0
A349,KR,20,53,37,45,3.18,0,0
A350,KR,17.5,64,51,57,4.47,0,0
A351,KR,18.9,66,41,53,4.17,0,0
A352,KR,17.2,88,62,75,7.6,0,0
A353,BNS,9,67,54,60,2.31,16,9.1
A354,BNS,16.4,57,43,50,3.22,0,0
A355,KR,19.8,64,46,55,4.7,0,0
A356,MB,21.5,93,66,79,10.54,0,0
A357,MM,14,59,43,51,2.86,0,0
A358,BNS,21.9,88,64,76,9.93,0,0
A359,KR,21.4,77,58,67,7.54,0,0
A360,MM,15.9,59,49,54,3.64,0,0
A361,MP,18.8,76,59,67,6.63,0,0
A362,MM,21.5,66,43,54,4.92,0,0
A363,MM,11.7,58,54,56,2.88,0,0
A364,MM,18.1,51,41,46,3.01,0,0
A365,BNS,19.8,81,64,72,8.06,0,0
A366,MM,16.3,64,53,58,4.31,0,0
A367,MM,16.4,73,69,71,6.49,0,0
A368,KR,17.4,94,80,87,10.34,0,0
A369,KR,20.8,65,41,53,4.59,0,0
A370,MRS,18.3,65,52,58,4.84,0,0
A371,KR,20.7,69,45,57,5.28,0,0
A372,KR,18.5,69,46,57,4.72,0,0
A373,KR,17.6,64,41,52,3.74,0,0
A374,KR,20.4,66,45,55,4.45,14,8.2
A375,KR,20.7,70,49,59,5.66,0,0
A376,KR,20.4,74,45,59,5.58,0,0
A377,KR,14.4,51,34,42,2,0,0
A378,KR,20,51,32,41,2.64,0,0
A379,KR,17.2,51,43,47,2.98,0,0
A380,MB,19.1,58,39,48,3.46,0,0
A381,MP,19.3,60,40,50,3.79,0,0
A382,MM,19.4,51,41,46,3.22,0,0
A383,MM,16.4,55,41,48,2.97,0,0
A384,MM,18.3,57,48,52,3.89,0,0
A385,KR,12.1,57,48,52,2.57,0,0
A386,MP,9.3,54,51,52,1.98,0,0
A387,LMB,17.2,57,46,51,3.51,0,0
A388,MM,15.6,56,45,50,2.91,10,5.1
A389,MM,15.9,55,38,46,2.64,0,0
A390,BNS,16.9,70,58,64,4.76,20,12.4
A391,KR,20.3,62,46,54,4.65,0,0
A392,KR,17.4,73,51,62,5.25,0,0
A393,KR,20,75,53,64,6.43,0,0
A394,KR,16.7,69,51,60,4.72,0,0
A395,KR,21.5,77,56,66,7.36,0,0
A396,BNS,17.6,62,52,57,4.49,0,0
A397,NY,11,60,55,57,2.81,0,0
A398,KR,21.2,65,47,56,5.22,0,0
A399,KR,19.5,78,56,67,6.59,12,4.1
A400,KR,20.1,77,54,65,6.67,0,0
A401,MM,20.5,68,50,59,5.6,0,0
A402,BNS,16.5,66,49,57,4.21,0,0
A403,KR,22,68,50,59,6.01,0,0
A404,KR,18.6,78,58,68,6.75,0,0
A405,BNS,14.8,117,97,107,12.98,15,2.5
A406,BNS,14.7,66,51,58,3.88,0,0
A407,KR,16.6,51,39,45,2.64,0,0
A408,LMB,18.9,68,50,59,5.17,0,0
A409,KR,17.1,53,40,46,2.84,0,0
A410,BNS,15.7,76,58,67,5.54,0,0
A411,LMB,15.9,52,38,45,2.53,0,0
A412,KR,20.7,100,74,87,12.31,0,0
A413,KR,11,74,59,66,3.76,0,0
A414,MRS,12.6,85,73,79,6.18,0,0
A415,KR,17,73,58,65,5.64,0,0
A416,MM,15.5,63,48,55,3.68,0,0
A417,MM,13.9,53,44,48,2.52,0,0
A418,BNS,15.8,59,47,53,3.49,0,0
A419,MB,14.7,67,51,59,4.02,0,0
A420,MM,16.6,84,65,74,7.14,0,0
A421,MK,21,82,56,69,7.85,0,0
A422,KR,16,74,52,63,4.99,0,0
A423,KR,16.9,87,69,78,8.08,0,0
A424,KR,16,66,44,55,3.8,0,0
A425,MRS,12.9,102,87,94,8.95,0,0
A426,KR,15.6,62,44,53,3.44,0,0
A427,BNS,18.2,83,65,74,7.83,0,0
A428,MB,15.1,56,38,47,2.62,0,0
A429,MB,15.7,84,62,73,6.57,0,0
A430,MB,15.3,68,45,56,3.77,0,0
A431,MB,10.4,100,82,91,6.76,0,0
A432,MB,9.8,83,71,77,4.56,0,0
A433,MM,18.4,68,48,58,4.86,0,0
A434,BNS,11.7,132,107,119,13.01,0,0
A435,MK,18.6,59,54,56,4.58,0,0
A436,MK,17,62,45,53,3.75,0,0
A437,KR,16,71,56,63,4.99,0,0
A438,KR,16.4,91,75,83,8.87,0,0
A439,KR,10.7,83,77,80,5.38,0,0
A440,KR,10.2,101,81,91,6.63,0,0
A441,KR,21.3,86,56,71,8.43,0,0
A442,KR,16.8,74,57,65,5.57,0,0
A443,KR,13.1,96,74,85,7.43,0,0
A444,KR,11.4,74,66,70,4.39,0,0
A445,KR,18.8,68,54,61,5.49,0,0
A446,KR,20.8,83,59,71,8.24,0,0
A447,KR,20.6,66,48,57,5.26,0,0
A448,MM,14.9,74,57,65,4.94,0,0
A449,MM,15.2,55,44,49,2.87,0,0
A450,BNS,14.7,101,89,95,10.09,15,3.2
A451,MM,14.8,67,58,62,4.47,0,0
A452,MM,16.2,74,49,61,4.73,0,0
A453,MM,18.8,75,49,62,5.68,0,0
A454,MM,19.2,57,42,49,3.62,0,0
A455,MB,12.4,73,64,68,4.5,0,0
A456,MB,16.8,68,54,61,4.91,0,0
A457,BNS,18.3,59,45,52,3.89,0,0
A458,MB,14.7,82,67,74,6.32,0,0
A459,MB,15.9,82,57,69,5.95,0,0
A460,BNS,19.2,68,55,61,5.61,0,0
A461,MM,14.2,63,46,54,3.25,0,0
A462,MB,12.7,87,81,84,7.04,0,0
A463,MM,16.2,102,82,92,10.4,15,3.4
A464,BNS,10.6,108,99,103,8.83,0,0
A465,BNS,11.5,133,108,120,13.01,0,0
A466,MP,14.5,69,56,62,4.38,0,0
A467,BNS,15.9,69,62,65,5.28,0,0
A468,MM,16.4,81,62,71,6.49,0,0
A469,MM,17.9,58,40,49,3.38,0,0
A470,MM,16.1,60,42,51,3.29,0,0
A471,MM,17.4,54,41,47,3.02,0,0
A472,BNS,16.6,69,58,63,5.17,0,0
A473,MM,18.3,55,48,51,3.74,0,0
A474,MM,18.3,55,48,51,3.74,0,0
A475,MM,14.2,70,58,64,4.57,0,0
A476,BNS,14,85,71,78,6.69,0,0
A477,BNS,17.3,65,54,59,4.73,0,0
A478,BNS,11.5,106,91,98,8.26,19,4.8
A479,BNS,20.4,78,59,68,7.41,0,0
A480,MP,17.5,102,81,91,11.38,0,0
A481,MB,17.5,97,71,84,9.7,0,0
A482,MB,18.2,55,40,47,3.16,0,0
A483,BNS,19.3,63,46,54,4.42,0,0
A484,MM,19,65,54,59,5.19,0,0
A485,MM,18.8,65,48,56,4.63,0,0
A486,MP,18.2,63,54,58,4.81,0,0
A487,BNS,15,72,59,65,4.98,0,0
A488,BNS,16.2,68,54,61,4.73,0,0
A489,MM,12.4,62,54,58,3.28,0,0
A490,MM,16.3,65,57,61,4.76,0,0
A491,KR,10.8,87,85,86,6.27,0,0
A492,KR,18.3,66,48,57,4.67,0,0
A493,KR,15.6,56,49,52,3.12,11,5.7
A494,KR,10.3,80,73,76,4.67,0,0
A495,KR,20.7,74,50,62,6.25,0,0
A496,KR,19.1,96,73,84,10.58,0,0
A497,KR,19,72,54,63,5.92,0,0
A498,KR,18.4,79,59,69,6.88,0,0
A499,KR,15.6,56,46,51,3.19,0,0
A500,KR,20.2,71,47,59,5.52,0,0
A501,KR,19,72,55,63,5.92,0,0
A502,KR,13.1,69,56,62,3.95,0,0
A503,KR,20.5,74,52,63,6.39,0,0
A504,MB,20.4,79,52,65,6.77,0,0
A505,MM,14.8,110,82,96,10.71,0,0
A506,MM,20.1,69,56,62,6.07,0,0
A507,MM,17.6,71,53,62,5.31,0,0
A508,KR,17.3,60,43,51,3.53,0,0
A509,MM,19.6,68,47,57,5,0,0
A510,KR,19.7,66,47,56,4.85,0,0
A511,BNS,21.3,57,43,50,4.18,0,0
A512,KR,15.5,65,52,58,4.1,0,0
A513,KR,20.5,73,47,60,5.8,0,0
A514,MB,21.2,74,55,64,6.82,0,0
A515,MM,13.8,60,51,55,3.28,0,0
A516,MB,17.9,66,48,57,4.57,0,0
A517,MM,18.6,57,44,50,3.65,0,0
A518,MM,14.7,65,48,56,3.62,0,0
A519,KR,17.2,73,56,64,5.53,0,0
A520,KR,22,62,41,51,4.49,0,0
A521,MM,19.3,57,49,53,4.26,0,0
A522,KR,19.3,81,52,66,6.6,0,0
A523,MRS,17.7,85,66,75,7.82,0,0
A524,BNS,13.8,66,62,64,4.44,0,0
A525,MM,14.3,59,47,53,3.15,0,0
A526,KR,21.4,68,48,58,5.65,0,0
A527,KR,17.8,62,45,53,3.93,0,0
A528,KR,17.4,65,53,59,4.76,0,0
A529,BNS,17.3,72,69,70,6.66,0,0
A530,MM,19.5,67,49,58,5.15,0,0
A531,MM,18,75,58,66,6.16,0,0
A532,MM,15.2,67,54,60,4.3,0,0
A533,MM,17.2,64,46,55,4.09,0,0
A534,BNS,10.7,87,83,85,6.07,0,0
A535,BNS,11,83,81,82,5.81,0,0
A536,BNS,19.9,79,62,70,7.66,0,0
A537,BNS,13.5,91,70,80,6.79,0,0
A538,BNS,11.9,70,64,67,4.2,0,0
A539,KR,20.7,62,39,50,4.06,0,0
A540,MK,15.4,58,47,52,3.27,0,0
A541,KR,17.7,102,71,86,10.28,0,0
A542,KR,18,73,59,66,6.16,0,0
A543,KR,15.1,55,39,47,2.62,0,0
A544,KR,14.9,69,53,61,4.35,0,0
A545,KR,15.4,67,53,60,4.35,0,0
A546,KR,15.3,73,63,68,5.4,10,2.8
A547,KR,16.7,63,45,54,3.82,0,0
A548,KR,17.4,70,51,60,4.92,0,0
A549,KR,19.5,89,69,79,9.56,0,0
A550,BNS,14.8,82,65,73,6.19,0,0
A551,BNS,18.1,59,49,54,3.49,19,15.8
A552,BNS,16.8,54,45,49,3.17,0,0
A553,LMB,14.5,60,50,55,3.44,0,0
A554,KR,18,62,42,52,3.82,0,0
A555,KR,14.9,92,67,79,7.3,0,0
A556,KR,14.1,74,59,66,4.82,0,0
A557,MP,19.3,57,41,49,3.64,0,0
A558,MM,18.9,66,47,56,4.66,0,0
A559,BNS,17.5,66,57,61,5.11,0,0
A560,MM,16.2,72,48,60,4.58,0,0
A561,MM,14.1,73,66,69,5.27,0,0
A562,LMB,18.3,65,48,56,4.51,0,0
A563,MM,20.8,108,80,94,14.43,0,0
A564,MM,19,63,50,56,4.68,0,0
A565,KR,17.7,56,42,49,3.34,0,0
A566,KR,15.4,74,68,71,6.1,0,0
A567,KR,17,75,54,64,5.47,0,0
A568,KR,17.6,62,41,51,3.6,0,0
A569,KR,19,67,44,55,4.51,0,0
A570,KR,18.1,54,38,46,3.01,0,0
A571,KR,19.9,64,45,54,4.56,0,0
A572,MM,18.2,81,65,73,7.62,0,0
A573,KR,19.1,82,64,73,7.99,0,0
A574,MM,14.2,58,49,53,3.13,0,0
A575,MM,16.3,55,44,49,3.07,0,0
A576,MK,13.8,59,53,56,3.4,0,0
A577,MB,15.3,65,53,59,4.18,0,0
